"","typeH","typeN"
"NA.40596","7.41639631396606e-15","1.15648303338727e-14"
"NA.40597","1.07016189880257e-17","2.29368072489474e-17"
"NA.40598","1.77969337311343e-20","3.37838094543577e-20"
"NA.40599","7.91446934493938e-23","1.09385054946957e-22"
"NA.40600","4.871452859758e-12","1.29917805984583e-11"
"NA.40601","1.92422337004054e-24","2.64152295355207e-24"
"NA.40602","1.92471602028189e-22","2.37767442204046e-22"
"NA.40603","9.59347539921165e-19","2.18823892629869e-18"
"NA.40604","3.5636903278074e-14","1.48052057777178e-14"
"NA.40605","7.71635551286428e-18","1.00924486934505e-17"
"NA.40606","7.42304762826965e-14","1.21790023399458e-13"
"NA.40607","3.06559963133186e-20","1.28961147039447e-20"
"NA.40608","3.45863871403133e-19","2.58289346812745e-19"
"NA.40609","9.45960066267041e-18","1.21897858809025e-17"
"NA.40610","1.45246853989752e-23","1.74976948215828e-23"
"NA.40611","3.7949261227459e-18","1.53156708479282e-18"
"NA.40612","4.25075088072454e-15","2.81259282217123e-15"
"NA.40613","8.71692252190506e-25","1.3095690672084e-24"
"NA.40614","3.07267180972103e-15","3.34862517932896e-15"
"NA.40615","7.93971671595503e-15","1.09629458239466e-14"
"NA.40616","4.60055227096394e-19","3.59899597096441e-19"
"NA.40617","5.64521715892055e-18","5.81254247766515e-18"
"NA.40618","1.2957546676012e-14","2.04755504020994e-14"
"NA.40619","5.90469517531571e-14","1.50369238757575e-13"
"NA.40620","2.75449346114044e-16","1.19544995721512e-16"
"NA.40621","6.54267558707603e-14","4.06797892696251e-14"
"NA.40622","1.00462499658191e-14","1.06248588052259e-14"
"NA.40623","1.53108742418454e-13","5.58716714625603e-13"
"NA.40624","4.17885372113672e-24","7.168980400721e-24"
"NA.40625","2.49695752609205e-13","3.32055407884971e-13"
"NA.40626","1.58981249148458e-15","2.39334892516789e-15"
"NA.40627","1.22452301048027e-15","8.71230816302366e-16"
"NA.40628","2.90734449258096e-22","9.71322334017673e-22"
"NA.40629","3.25911288791991e-15","1.60904405076811e-14"
"NA.40630","8.83982515321199e-17","1.78781248731017e-16"
"NA.40631","1.01370379125794e-20","1.76086283042784e-20"
"NA.40632","4.10923813331289e-14","2.84541186867831e-14"
"NA.40633","2.5559667168749e-25","2.44763283873157e-25"
"NA.40634","2.00168918580409e-16","1.02997690316575e-16"
"NA.40635","4.27469143469053e-14","4.85165306219825e-14"
"NA.40636","1.7220842529693e-20","1.20800288311766e-20"
"NA.40637","1.6200072357191e-17","1.28375696306881e-17"
"NA.40638","1.16066779992424e-20","9.90958548934997e-21"
"NA.40639","5.85537306594476e-18","7.6906289025197e-18"
"NA.40640","1.05413451735525e-20","3.71403354401585e-21"
"NA.40641","2.53534412671559e-14","2.08539387431538e-14"
"NA.40642","1.88525728550077e-15","3.10298927243353e-15"
"NA.40643","2.19494217569298e-24","3.58927042474668e-24"
"NA.40644","1.88829215989694e-14","4.91684973362078e-15"
"NA.40645","3.02987966660812e-25","4.18317949530877e-25"
"NA.40646","5.74287400820487e-10","9.58474424071197e-09"
"NA.40647","4.19489945172125e-12","2.96237594749265e-12"
"NA.40648","2.7525520194486e-24","3.52044453483489e-24"
"NA.40649","1.13604195442694e-16","2.18122025208411e-16"
"NA.40650","2.3537952259686e-18","4.38442633507656e-18"
"NA.40651","2.86850523571122e-13","3.05441669101431e-13"
"NA.40652","2.24403631878472e-13","7.62765259593728e-14"
"NA.40653","2.58094567026735e-13","1.52426720674246e-14"
"NA.40654","3.82659873393629e-18","1.90572891261262e-17"
"NA.40655","5.86456449494228e-18","3.10536069435778e-18"
"NA.40656","1.90541541525399e-10","5.71437733721389e-10"
"NA.40657","1.14919810684628e-23","2.08182325832334e-23"
"NA.40658","2.61469789482168e-19","2.74322971235061e-19"
"NA.40659","1.44979310662074e-11","2.36013039062015e-11"
"NA.40660","8.03729993273014e-15","2.14573931914133e-14"
"NA.40661","8.39207179597301e-14","1.2507085651537e-13"
"NA.40662","7.56326268397321e-15","1.10773467928829e-13"
"NA.40663","5.3459276186275e-16","1.1389951534504e-15"
"NA.40664","2.84309923419103e-15","2.55267143930897e-15"
"NA.40665","5.22086230278322e-15","7.74610747759372e-15"
"NA.40666","1.30779645300983e-21","1.21987203995439e-21"
"NA.40667","1.87025192276036e-13","1.12102038279218e-12"
"NA.40668","5.24667839300801e-16","4.18220762792683e-16"
"NA.40669","1.33926904439483e-14","3.0796973891769e-15"
"NA.40670","2.26646979932497e-14","5.43778563781031e-14"
"NA.40671","1.65974005107567e-18","1.98167432660749e-18"
"NA.40672","1.94141581448192e-20","2.03912305260851e-20"
"NA.40673","4.37868513389015e-15","3.63762366511239e-15"
"NA.40674","2.50799669221119e-13","1.15810032098484e-13"
"NA.40675","4.89547686335377e-15","4.78906631545887e-15"
"NA.40676","2.67139937069163e-17","5.0993654500899e-17"
"NA.40677","2.10837496603399e-18","1.45659029350782e-18"
"NA.40678","1.66518103969093e-19","2.77765879532598e-19"
"NA.40679","5.09984049469407e-12","8.63455604367045e-13"
"NA.40680","1.05042396560105e-16","8.93783248284399e-17"
"NA.40681","1.73045612176296e-20","4.48626486430543e-20"
"NA.40682","1.13339628916446e-14","4.05438890351065e-14"
"NA.40683","5.98111652193981e-18","4.315694297346e-18"
"NA.40684","1.23572119062084e-15","3.53798503059091e-15"
"NA.40685","3.86632088104805e-12","4.43709004465722e-12"
"NA.40686","1.4058542462943e-16","1.93969549218572e-16"
"NA.40687","7.09910811761222e-20","7.28292311539634e-20"
"NA.40688","1.03267627327696e-15","8.55708850819823e-16"
"NA.40689","6.16086731119693e-15","6.4224483590828e-15"
"NA.40690","1.03119600295566e-17","8.65700097221178e-18"
"NA.40691","6.38611740932249e-11","1.46109230821216e-09"
"NA.40692","3.16159782799488e-15","1.38047803194125e-15"
"NA.40693","1.15289936090452e-15","4.40582602520727e-15"
"NA.40694","1.91364243423607e-16","2.18909776796211e-16"
"NA.40695","8.17233675670229e-15","1.07690981902537e-14"
"NA.40696","7.17261324787604e-21","1.95162672512031e-20"
"NA.40697","3.88079310165062e-15","3.05401996698361e-15"
"NA.40698","1.16227888143339e-09","2.08595197403597e-09"
"NA.40699","2.16812783146395e-16","3.40144172888484e-16"
"NA.40700","6.80829558367244e-22","5.41291509544959e-22"
"NA.40701","2.61270114230072e-17","6.31522362248745e-18"
"NA.40702","2.07259698689143e-15","3.73746454258847e-15"
"NA.40703","7.81680374479642e-21","2.03937985055749e-20"
"NA.40704","1.49593030232861e-14","1.49510578054943e-14"
"NA.40705","2.39948852299055e-22","2.13806076445846e-22"
"NA.40706","6.52628820547548e-15","1.65959858152695e-14"
"NA.40707","1.55157291963084e-15","2.41372065313499e-15"
"NA.40708","1.68812491117087e-11","3.06473101924814e-11"
"NA.40709","4.48818260458067e-15","1.50619566421427e-14"
"NA.40710","1.13342327206513e-16","1.28099164501691e-16"
"NA.40711","7.86617229539822e-18","1.60847213379924e-17"
"NA.40712","5.69545453814818e-15","1.33429333434097e-15"
"NA.40713","4.89633772810741e-14","7.62213179699994e-14"
"NA.40714","2.17042289942238e-13","1.08740404036095e-12"
"NA.40715","5.18445193776467e-16","6.6819125686536e-16"
"NA.40716","8.33429436363886e-11","5.46479332329299e-10"
"NA.40717","3.40536558224154e-16","1.59543051319642e-16"
"NA.40718","3.3052681912504e-09","3.6719275779356e-07"
"NA.40719","5.75994254753484e-15","1.02474868595371e-14"
"NA.40720","3.09113460055359e-16","8.04510731776173e-16"
"NA.40721","4.21227842754692e-19","1.36965903967211e-19"
"NA.40722","6.10384053349818e-16","4.64571941935016e-16"
"NA.40723","1.60904452805343e-14","2.78001493102561e-14"
"NA.40724","1.41548083659986e-15","6.30697443601559e-16"
"NA.40725","3.07868078596195e-15","3.70461831193871e-15"
"NA.40726","1.90378865546345e-15","2.08316074663762e-15"
"NA.40727","3.83257410714506e-15","8.85069462820635e-15"
"NA.40728","7.00081638338322e-16","9.53819321941676e-16"
"NA.40729","2.77366182323889e-15","3.59117404432795e-15"
"NA.40730","3.90851932918048e-21","8.86773320573677e-21"
"NA.40731","5.33327685905595e-19","4.25155874549787e-19"
"NA.40732","2.6126243534958e-16","2.74341317882287e-16"
"NA.40733","7.08305139305642e-21","1.66585314031735e-20"
"NA.40734","9.90003378175246e-18","9.317443421825e-18"
"NA.40735","1.53070031621478e-16","7.68706103600491e-17"
"NA.40736","2.93998221342799e-15","4.20350739143905e-15"
"NA.40737","8.19090915153672e-21","2.29339119905799e-20"
"NA.40738","2.2469218121231e-16","1.87454340429702e-16"
"NA.40739","8.72495001854982e-15","9.93139342192464e-15"
"NA.40740","2.01364959937458e-16","4.45979286150081e-16"
"NA.40741","1.17724517922688e-13","1.61887334406074e-13"
"NA.40742","3.68846337199382e-19","3.16431775485889e-19"
"NA.40743","2.36532369922031e-20","7.11379174809706e-20"
"NA.40744","6.23398790791811e-11","8.68081906424323e-11"
"NA.40745","2.35610578716053e-10","1.27085630083259e-09"
